"","html_form","attachments","flash_content","html_iframe","html_content","urls","external_resources","javascript","css","ips_in_urls","at_in_urls","encoding","is_phishy"
"100","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"101","False","0","False","False","False","5","0","0","0","False","False","8bit","True"
"102","False","0","False","False","False","0","0","0","0","False","False","base64","True"
"103","False","0","False","False","True","12","0","0","0","False","False","7bit","True"
"104","False","0","False","False","True","12","0","0","0","False","False","7bit","True"
"105","False","0","False","False","True","12","0","0","0","False","False","7bit","True"
"106","False","0","False","False","True","3","0","0","0","False","False","other","True"
"107","False","0","False","False","True","0","0","0","0","False","False","7bit","True"
"108","False","0","False","False","True","0","0","0","0","False","False","none","True"
"109","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"110","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"111","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"112","False","0","False","False","True","4","2","0","2","False","True","7bit","True"
"113","False","0","False","False","False","5","0","0","0","False","False","8bit","True"
"114","False","0","False","False","True","17","0","0","0","False","False","other","True"
"115","False","0","False","False","True","6","0","0","0","False","False","7bit","True"
"116","False","0","False","False","True","6","0","0","0","False","False","7bit","True"
"117","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"118","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"119","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"120","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"121","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"122","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"123","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"124","False","0","False","False","False","5","0","0","0","False","False","8bit","True"
"125","False","0","False","False","True","0","0","0","0","False","False","none","True"
"126","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"127","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"128","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"129","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"130","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"131","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"132","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"133","False","0","False","False","True","5","0","0","0","False","False","7bit","True"
"134","False","0","False","False","False","0","0","0","0","False","False","other","True"
"135","False","0","False","False","True","0","0","0","0","False","False","none","True"
"136","False","0","False","False","True","4","0","0","0","False","False","7bit","True"
"137","False","0","False","False","True","4","0","0","0","False","False","other","True"
"138","False","0","False","False","False","4","0","0","0","False","False","7bit","True"
"139","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"140","False","0","False","False","True","6","0","0","0","False","False","7bit","True"
"141","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"142","False","0","False","False","True","6","0","0","0","False","False","7bit","True"
"143","False","0","False","False","False","4","0","0","0","False","False","7bit","True"
"144","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"145","False","0","False","False","True","7","0","0","0","False","False","7bit","True"
"146","False","0","False","False","False","2","0","0","0","False","False","8bit","True"
"147","False","0","False","False","True","5","0","0","0","False","False","7bit","True"
"148","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"149","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"150","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"151","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"152","False","0","False","False","True","6","0","1","0","False","False","7bit","True"
"153","False","1","False","False","False","0","0","0","0","False","False","none","True"
"154","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"155","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"156","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"157","False","0","False","False","True","11","0","0","0","False","False","7bit","True"
"158","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"159","False","0","False","False","True","0","2","0","2","False","False","base64","True"
"160","False","0","False","False","True","0","0","0","0","False","False","none","True"
"161","False","1","False","False","False","0","0","1","0","False","False","none","True"
"162","False","1","False","False","True","2","0","0","0","False","False","none","True"
"163","False","0","False","False","False","4","0","0","0","False","False","7bit","True"
"164","False","0","False","False","False","4","0","0","0","False","False","7bit","True"
"165","False","0","False","False","False","4","0","0","0","False","False","7bit","True"
"166","False","0","False","False","False","4","0","0","0","False","False","7bit","True"
"167","False","0","False","False","True","5","0","0","0","False","False","7bit","True"
"168","False","0","False","False","True","0","0","0","0","False","False","none","True"
"169","False","1","False","False","False","0","0","0","0","False","False","none","True"
"170","False","0","False","False","False","0","0","0","0","False","False","none","True"
"171","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"172","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"173","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"174","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"175","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"176","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"177","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"178","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"179","False","0","False","False","True","13","0","0","0","False","False","other","True"
"180","False","0","False","False","True","49","0","0","0","False","False","8bit","True"
"181","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"182","False","0","False","False","True","6","0","0","0","False","False","7bit","True"
"183","False","0","False","False","False","7","0","0","0","False","False","7bit","True"
"184","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"185","False","1","False","False","False","0","0","0","0","False","False","none","True"
"186","False","0","False","False","False","3","0","0","0","False","False","none","True"
"187","False","0","False","False","True","0","0","0","0","False","False","none","True"
"188","False","0","False","False","True","0","0","0","0","False","False","other","True"
"189","False","0","False","False","True","0","0","0","0","False","False","other","True"
"190","False","0","False","False","True","6","1","0","1","False","False","8bit","True"
"191","False","0","False","False","False","0","0","0","0","False","False","7bit","True"
"192","False","0","False","False","True","0","0","0","0","False","False","7bit","True"
"193","False","1","False","False","False","0","0","0","0","False","False","none","True"
"194","False","0","False","False","False","4","0","0","0","False","False","7bit","True"
"195","False","0","False","False","False","0","0","0","0","False","False","7bit","True"
"196","False","0","False","False","True","9","0","0","0","False","False","none","True"
"197","False","0","False","False","True","6","0","0","0","False","False","none","True"
"198","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"199","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"200","False","0","False","False","True","57","0","0","0","False","False","8bit","True"
"201","False","0","False","False","True","6","0","0","0","False","False","other","True"
"202","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"203","False","0","False","False","True","8","0","0","0","False","False","7bit","True"
"204","False","0","False","False","True","9","0","0","0","False","False","none","True"
"205","False","1","False","False","False","0","0","0","0","False","False","none","True"
"206","False","0","False","False","True","0","0","0","0","False","False","none","True"
